GAME_ID,SEASON,LEAGUE,PLAYER,TEAM,MATCHUP,MIN,PTS,2PM,2PA,3PM,3PA,FTM,FTA,DREB,OREB,REB,AST,STL,TOV,BLK,PF
25018,2025-26,Serie A,MATTEO CHILLO,NUTRIBULLET TREVISO BASKET,"2025-10-05, TVB vs BRE",16,5,1,1,1,2,0,0,1,3,4,1,0,2,0,3
25018,2025-26,Serie A,DESHAWN STEPHENS,NUTRIBULLET TREVISO BASKET,"2025-10-05, TVB vs BRE",25,7,3,6,0,0,1,1,3,1,4,0,0,2,0,4
25018,2025-26,Serie A,FRANCESCO PELLEGRINO,NUTRIBULLET TREVISO BASKET,"2025-10-05, TVB vs BRE",8,0,0,0,0,0,0,0,0,0,0,0,2,2,0,3
25018,2025-26,Serie A,OSVALDAS OLISEVICIUS,NUTRIBULLET TREVISO BASKET,"2025-10-05, TVB vs BRE",32,22,5,11,4,10,0,0,2,2,4,3,3,0,0,1
25018,2025-26,Serie A,TOMMASO SPINAZZE,NUTRIBULLET TREVISO BASKET,"2025-10-05, TVB vs BRE",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25018,2025-26,Serie A,MIRO BILAN,GERMANI BRESCIA,"2025-10-05, TVB vs BRE",29,20,7,11,0,0,6,11,3,3,6,2,0,3,0,0
25018,2025-26,Serie A,GIANCARLO FERRERO,GERMANI BRESCIA,"2025-10-05, TVB vs BRE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25018,2025-26,Serie A,C.J. MASSINBURG,GERMANI BRESCIA,"2025-10-05, TVB vs BRE",32,19,6,8,2,6,1,1,1,1,2,3,4,1,0,1
25018,2025-26,Serie A,ANDREA DONEDA,GERMANI BRESCIA,"2025-10-05, TVB vs BRE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25018,2025-26,Serie A,MATTIA SANTINON,GERMANI BRESCIA,"2025-10-05, TVB vs BRE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25018,2025-26,Serie A,AMEDEO DELLA VALLE,GERMANI BRESCIA,"2025-10-05, TVB vs BRE",35,24,3,4,4,7,6,6,2,1,3,5,0,3,0,4
25018,2025-26,Serie A,MAURICE NDOUR,GERMANI BRESCIA,"2025-10-05, TVB vs BRE",29,6,3,5,0,0,0,0,3,1,4,0,2,7,1,4
25018,2025-26,Serie A,JASON BURNELL,GERMANI BRESCIA,"2025-10-05, TVB vs BRE",33,15,6,8,1,3,0,0,9,4,13,3,1,1,2,2
25018,2025-26,Serie A,NIKOLA IVANOVIC,GERMANI BRESCIA,"2025-10-05, TVB vs BRE",30,13,1,3,3,5,2,2,2,0,2,3,2,0,0,4
25018,2025-26,Serie A,JOSEPH MOBIO,GERMANI BRESCIA,"2025-10-05, TVB vs BRE",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25018,2025-26,Serie A,DEMETRE RIVERS,GERMANI BRESCIA,"2025-10-05, TVB vs BRE",21,2,1,1,0,3,0,0,2,1,3,0,0,2,1,3
25018,2025-26,Serie A,DAVID REGINALD COURNOOH,GERMANI BRESCIA,"2025-10-05, TVB vs BRE",12,3,0,0,1,3,0,0,1,0,1,1,0,1,0,3
25016,2025-26,Serie A,DJ STEWARD,DOLOMITI ENERGIA TRENTINO,"2025-10-05, TRN vs CNT",25,21,9,10,1,3,0,0,2,2,4,5,2,2,0,3
25016,2025-26,Serie A,DEVANTE' JONES,DOLOMITI ENERGIA TRENTINO,"2025-10-05, TRN vs CNT",21,21,8,10,1,1,2,2,3,0,3,2,5,2,0,4
25016,2025-26,Serie A,CHEICKH NIANG,DOLOMITI ENERGIA TRENTINO,"2025-10-05, TRN vs CNT",23,15,3,6,2,2,3,4,5,1,6,0,1,1,0,1
25016,2025-26,Serie A,MATAS JOGELA,DOLOMITI ENERGIA TRENTINO,"2025-10-05, TRN vs CNT",19,7,1,4,1,4,2,2,0,1,1,1,0,0,0,3
25016,2025-26,Serie A,TOTO FORRAY,DOLOMITI ENERGIA TRENTINO,"2025-10-05, TRN vs CNT",10,1,0,2,0,0,1,2,0,1,1,2,1,1,0,2
25016,2025-26,Serie A,THEO AIRHIENBUWA,DOLOMITI ENERGIA TRENTINO,"2025-10-05, TRN vs CNT",6,4,0,1,0,0,4,4,0,0,0,0,0,0,0,1
25016,2025-26,Serie A,FEDERICO CATTAPAN,DOLOMITI ENERGIA TRENTINO,"2025-10-05, TRN vs CNT",2,5,2,2,0,0,1,1,0,0,0,0,0,0,0,0
25016,2025-26,Serie A,SELOM MAWUGBE,DOLOMITI ENERGIA TRENTINO,"2025-10-05, TRN vs CNT",22,10,4,6,0,0,2,3,5,3,8,1,0,0,2,2
25016,2025-26,Serie A,PEYTON ALDRIDGE,DOLOMITI ENERGIA TRENTINO,"2025-10-05, TRN vs CNT",22,11,1,1,3,4,0,0,5,0,5,1,0,1,1,2
25016,2025-26,Serie A,ANDREJ JAKIMOVSKI,DOLOMITI ENERGIA TRENTINO,"2025-10-05, TRN vs CNT",16,3,0,2,1,2,0,0,3,0,3,0,0,0,0,1
25016,2025-26,Serie A,JORDAN BAYEHE,DOLOMITI ENERGIA TRENTINO,"2025-10-05, TRN vs CNT",18,4,1,2,0,1,2,2,6,1,7,1,0,2,0,3
25016,2025-26,Serie A,PATRICK HASSAN,DOLOMITI ENERGIA TRENTINO,"2025-10-05, TRN vs CNT",16,7,2,4,1,3,0,0,1,1,2,1,0,1,0,2
25016,2025-26,Serie A,JACOB GILYARD,ACQUA S.BERNARDO CANTU,"2025-10-05, TRN vs CNT",34,12,1,3,2,5,4,8,2,0,2,8,2,3,0,1
25016,2025-26,Serie A,JORDAN BOWDEN,ACQUA S.BERNARDO CANTU,"2025-10-05, TRN vs CNT",18,14,0,1,4,7,2,4,0,0,0,0,1,0,0,3
25016,2025-26,Serie A,RICCARDO MORASCHINI,ACQUA S.BERNARDO CANTU,"2025-10-05, TRN vs CNT",12,0,0,3,0,3,0,0,1,0,1,0,0,1,0,0
25016,2025-26,Serie A,ANDREA DE NICOLAO,ACQUA S.BERNARDO CANTU,"2025-10-05, TRN vs CNT",6,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0
25016,2025-26,Serie A,OUMAR BALLO,ACQUA S.BERNARDO CANTU,"2025-10-05, TRN vs CNT",24,9,4,7,0,0,1,4,5,6,11,0,0,2,0,5
25016,2025-26,Serie A,GIORDANO BORTOLANI,ACQUA S.BERNARDO CANTU,"2025-10-05, TRN vs CNT",28,12,2,5,2,3,2,4,2,0,2,1,2,0,0,1
25016,2025-26,Serie A,XAVIER SNEED,ACQUA S.BERNARDO CANTU,"2025-10-05, TRN vs CNT",32,10,2,8,1,5,3,4,2,2,4,2,1,1,0,3
25016,2025-26,Serie A,GRANT BASILE,ACQUA S.BERNARDO CANTU,"2025-10-05, TRN vs CNT",20,4,2,3,0,4,0,2,3,2,5,0,0,4,0,1
25016,2025-26,Serie A,IFE JOSHUA AJAYI,ACQUA S.BERNARDO CANTU,"2025-10-05, TRN vs CNT",17,6,3,4,0,1,0,3,1,2,3,1,0,2,0,3
25016,2025-26,Serie A,LEONARDO OKEKE,ACQUA S.BERNARDO CANTU,"2025-10-05, TRN vs CNT",9,2,1,2,0,1,0,0,2,0,2,0,0,0,0,4
25019,2025-26,Serie A,R.J. COLE,UMANA REYER VENEZIA,"2025-10-05, VEN vs CRE",28,15,3,8,1,4,6,6,1,0,1,3,1,2,0,1
25019,2025-26,Serie A,CHRIS HORTON,UMANA REYER VENEZIA,"2025-10-05, VEN vs CRE",29,4,2,4,0,0,0,0,5,4,9,2,1,0,0,1
25019,2025-26,Serie A,ALESSANDRO LEVER,UMANA REYER VENEZIA,"2025-10-05, VEN vs CRE",6,2,1,2,0,0,0,0,0,1,1,0,0,1,0,0
25019,2025-26,Serie A,GIOVANNI DE NICOLAO,UMANA REYER VENEZIA,"2025-10-05, VEN vs CRE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25019,2025-26,Serie A,LEONARDO CANDI,UMANA REYER VENEZIA,"2025-10-05, VEN vs CRE",13,2,1,2,0,2,0,0,0,0,0,2,0,0,0,2
25019,2025-26,Serie A,KY BOWMAN,UMANA REYER VENEZIA,"2025-10-05, VEN vs CRE",24,18,4,7,2,7,4,4,5,1,6,1,0,2,0,3
25019,2025-26,Serie A,CARL WHEATLE,UMANA REYER VENEZIA,"2025-10-05, VEN vs CRE",17,5,2,4,0,1,1,2,1,3,4,0,0,0,0,2
25019,2025-26,Serie A,STEFAN NIKOLIC,UMANA REYER VENEZIA,"2025-10-05, VEN vs CRE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25019,2025-26,Serie A,JORDAN PARKS,UMANA REYER VENEZIA,"2025-10-05, VEN vs CRE",31,18,5,9,2,3,2,2,7,1,8,0,2,2,0,3
25019,2025-26,Serie A,KYLE WILTJER,UMANA REYER VENEZIA,"2025-10-05, VEN vs CRE",31,3,0,2,1,4,0,0,6,2,8,4,0,2,1,0
25019,2025-26,Serie A,DENZEL VALENTINE,UMANA REYER VENEZIA,"2025-10-05, VEN vs CRE",10,2,1,2,0,4,0,0,2,1,3,0,0,2,0,0
25019,2025-26,Serie A,AMEDEO TESSITORI,UMANA REYER VENEZIA,"2025-10-05, VEN vs CRE",11,13,6,7,0,0,1,1,1,2,3,2,0,1,0,4
25019,2025-26,Serie A,IKE ANIGBOGU,VANOLI BASKET CREMONA,"2025-10-05, VEN vs CRE",21,2,1,4,0,0,0,0,1,3,4,0,0,2,3,3
25019,2025-26,Serie A,PAYTON WILLIS,VANOLI BASKET CREMONA,"2025-10-05, VEN vs CRE",33,13,3,8,2,6,1,1,5,1,6,5,5,0,0,1
25019,2025-26,Serie A,TAJION JONES,VANOLI BASKET CREMONA,"2025-10-05, VEN vs CRE",19,4,1,2,0,3,2,2,0,1,1,0,1,0,0,1
25019,2025-26,Serie A,DAVIDE CASARIN,VANOLI BASKET CREMONA,"2025-10-05, VEN vs CRE",23,11,4,7,1,2,0,0,3,2,5,5,1,3,1,5
25019,2025-26,Serie A,SASHA GRANT,VANOLI BASKET CREMONA,"2025-10-05, VEN vs CRE",31,9,3,5,1,3,0,0,1,0,1,0,0,1,0,2
25019,2025-26,Serie A,FILIPPO GALLI,VANOLI BASKET CREMONA,"2025-10-05, VEN vs CRE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25019,2025-26,Serie A,GIOVANNI VERONESI,VANOLI BASKET CREMONA,"2025-10-05, VEN vs CRE",25,4,1,3,0,7,2,2,1,0,1,0,0,0,0,2
25019,2025-26,Serie A,SIMONE DE GREGORI,VANOLI BASKET CREMONA,"2025-10-05, VEN vs CRE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25019,2025-26,Serie A,ALJAMI DURHAM,VANOLI BASKET CREMONA,"2025-10-05, VEN vs CRE",21,18,1,2,4,7,4,4,3,2,5,0,0,3,0,5
25019,2025-26,Serie A,OUSMANE NDIAYE,VANOLI BASKET CREMONA,"2025-10-05, VEN vs CRE",27,14,1,1,4,7,0,1,5,1,6,0,0,1,1,0
