GAME_ID,SEASON,LEAGUE,PLAYER,TEAM,CODE,MATCHUP,MIN,PTS,2PM,2PA,3PM,3PA,FTM,FTA,DREB,OREB,REB,AST,STL,TOV,BLK,PF
3,2025-26,Eurocup,DENZEL VALENTINE,VNC,VNC,"2025-09-30, VNC vs ARI",19,6,1,2,1,4,1,2,3,0,3,6,1,2,0,3
3,2025-26,Eurocup,LONG MITROU,ARI,ARI,"2025-09-30, VNC vs ARI",15,2,0,2,0,2,2,2,2,0,2,2,0,0,0,2
3,2025-26,Eurocup,BRYCE JONES,ARI,ARI,"2025-09-30, VNC vs ARI",33,26,9,14,1,3,5,7,6,2,8,6,1,3,0,3
3,2025-26,Eurocup,BRYN FORBES,ARI,ARI,"2025-09-30, VNC vs ARI",34,18,3,5,3,7,3,4,1,0,1,0,2,5,0,1
3,2025-26,Eurocup,JAKOB DWIGHT FORESTER,ARI,ARI,"2025-09-30, VNC vs ARI",14,2,1,1,0,0,0,0,1,0,1,0,0,1,0,3
3,2025-26,Eurocup,STYLIANOS POULIANITIS,ARI,ARI,"2025-09-30, VNC vs ARI",26,10,2,2,2,2,0,0,4,1,5,3,0,1,0,2
3,2025-26,Eurocup,GEORGIOS GKIOUZELIS,ARI,ARI,"2025-09-30, VNC vs ARI",8,2,1,1,0,0,0,0,0,0,0,0,1,0,0,2
3,2025-26,Eurocup,ELEFTHERIOS BOCHORIDIS,ARI,ARI,"2025-09-30, VNC vs ARI",18,4,2,2,0,0,0,0,7,0,7,0,0,2,0,3
3,2025-26,Eurocup,VASILLIS KAZAMIAS,ARI,ARI,"2025-09-30, VNC vs ARI",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2025-26,Eurocup,STEVEN ENOCH,ARI,ARI,"2025-09-30, VNC vs ARI",22,8,4,7,0,0,0,2,1,1,2,0,0,1,0,3
3,2025-26,Eurocup,RONNIE HARRELL,ARI,ARI,"2025-09-30, VNC vs ARI",30,13,1,4,2,5,5,6,7,0,7,4,0,2,1,2
4,2025-26,Eurocup,CARLOS STEWART,HAM,HAM,"2025-09-30, HAM vs JER",21,21,7,9,1,2,4,6,1,1,2,3,1,1,0,2
4,2025-26,Eurocup,LEONARD THORPE,HAM,HAM,"2025-09-30, HAM vs JER",19,8,4,6,0,0,0,0,1,1,2,2,0,1,0,5
4,2025-26,Eurocup,OSARO RICH,HAM,HAM,"2025-09-30, HAM vs JER",7,10,2,2,1,2,3,4,0,0,0,0,1,0,0,1
4,2025-26,Eurocup,ZSOMBOR MARONKA,HAM,HAM,"2025-09-30, HAM vs JER",18,6,1,1,1,3,1,2,1,0,1,0,0,0,1,1
4,2025-26,Eurocup,JP TOKOTO,HAM,HAM,"2025-09-30, HAM vs JER",26,3,1,6,0,0,1,2,4,3,7,5,0,0,0,4
4,2025-26,Eurocup,JARED GREY,HAM,HAM,"2025-09-30, HAM vs JER",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,2025-26,Eurocup,JUSTIN EDLER DAVIS,HAM,HAM,"2025-09-30, HAM vs JER",21,9,0,4,2,11,3,4,2,5,7,1,1,2,0,3
4,2025-26,Eurocup,KENNETH OGBE,HAM,HAM,"2025-09-30, HAM vs JER",18,0,0,1,0,2,0,0,0,0,0,0,1,0,0,3
4,2025-26,Eurocup,ERIC REED,HAM,HAM,"2025-09-30, HAM vs JER",27,21,0,3,5,14,6,8,1,0,1,1,1,3,0,2
4,2025-26,Eurocup,BENEDIKT TURUDIC,HAM,HAM,"2025-09-30, HAM vs JER",13,1,0,1,0,0,1,2,0,2,2,0,1,2,0,1
4,2025-26,Eurocup,ZACHARIE PERRIN,HAM,HAM,"2025-09-30, HAM vs JER",26,6,3,7,0,0,0,0,5,6,11,3,1,4,0,3
4,2025-26,Eurocup,JUSTIN SMITH,JER,JER,"2025-09-30, HAM vs JER",22,14,5,7,0,0,4,4,3,1,4,2,1,1,3,0
4,2025-26,Eurocup,JARED HARPER,JER,JER,"2025-09-30, HAM vs JER",30,16,2,4,0,3,12,14,2,0,2,2,2,2,0,2
4,2025-26,Eurocup,KHADEEN CARRINGTON,JER,JER,"2025-09-30, HAM vs JER",26,19,5,5,3,6,0,0,2,0,2,1,0,2,0,2
4,2025-26,Eurocup,AUSTIN WILEY,JER,JER,"2025-09-30, HAM vs JER",18,14,6,7,0,0,2,2,7,4,11,0,0,2,1,3
4,2025-26,Eurocup,ROY PARETSKY,JER,JER,"2025-09-30, HAM vs JER",9,0,0,1,0,0,0,0,0,2,2,0,1,0,0,0
4,2025-26,Eurocup,ROI HUBER,JER,JER,"2025-09-30, HAM vs JER",17,10,1,2,2,3,2,2,4,0,4,5,0,3,0,0
4,2025-26,Eurocup,NIMROD LEVI,JER,JER,"2025-09-30, HAM vs JER",23,6,3,5,0,4,0,0,3,1,4,1,0,1,0,3
4,2025-26,Eurocup,ANTHONY LAMB,JER,JER,"2025-09-30, HAM vs JER",20,12,3,3,1,3,3,4,4,2,6,4,0,1,1,4
4,2025-26,Eurocup,YOVEL ZOOSMAN,JER,JER,"2025-09-30, HAM vs JER",22,5,1,2,1,3,0,0,3,0,3,3,1,1,0,2
4,2025-26,Eurocup,JOSIAH-JORDAN JAMES,JER,JER,"2025-09-30, HAM vs JER",13,4,1,1,0,1,2,2,0,0,0,0,1,0,0,5
5,2025-26,Eurocup,DJ STEWART,LJU,LJU,"2025-10-01, LJU vs MAN",20,9,4,5,0,2,1,1,1,1,2,1,1,0,0,4
5,2025-26,Eurocup,UMOJA GIBSON,LJU,LJU,"2025-10-01, LJU vs MAN",19,5,0,2,1,2,2,2,0,0,0,0,2,4,0,2
5,2025-26,Eurocup,JOSEPH GIRARD III,LJU,LJU,"2025-10-01, LJU vs MAN",16,9,1,3,1,6,4,4,1,1,2,0,3,1,0,0
5,2025-26,Eurocup,ROK RADOVIC,LJU,LJU,"2025-10-01, LJU vs MAN",21,6,1,2,0,1,4,4,1,1,2,0,2,1,0,2
5,2025-26,Eurocup,ALEKSEJ NIKOLIC,LJU,LJU,"2025-10-01, LJU vs MAN",28,17,2,4,3,5,4,4,1,0,1,6,1,3,0,4
5,2025-26,Eurocup,CAMERON HOUINDO,LJU,LJU,"2025-10-01, LJU vs MAN",5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
5,2025-26,Eurocup,JAKA BLAZIC,LJU,LJU,"2025-10-01, LJU vs MAN",15,6,1,2,1,1,1,2,0,0,0,1,1,1,0,3
5,2025-26,Eurocup,MIHA CERKVENIK,LJU,LJU,"2025-10-01, LJU vs MAN",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,2025-26,Eurocup,DAVID SKARA,LJU,LJU,"2025-10-01, LJU vs MAN",16,4,1,2,0,0,2,2,1,2,3,0,1,0,0,1
5,2025-26,Eurocup,NIKOS CHOUGKAZ,LJU,LJU,"2025-10-01, LJU vs MAN",28,10,3,9,0,4,4,5,7,2,9,1,1,1,0,1
5,2025-26,Eurocup,THOMAS KENNEDY,LJU,LJU,"2025-10-01, LJU vs MAN",31,10,3,7,0,0,4,5,11,0,11,3,1,3,0,2
5,2025-26,Eurocup,KAODIRICHI AKOBUNDU-EHIOGU,MAN,MAN,"2025-10-01, LJU vs MAN",8,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2
5,2025-26,Eurocup,HUGO BENITEZ,MAN,MAN,"2025-10-01, LJU vs MAN",26,10,4,9,0,1,2,2,2,1,3,8,3,5,0,1
5,2025-26,Eurocup,ALEX REYES,MAN,MAN,"2025-10-01, LJU vs MAN",23,16,1,2,4,5,2,2,2,0,2,1,0,2,0,3
