GAME_ID,SEASON,LEAGUE,PLAYER,TEAM,MATCHUP,MIN,PTS,2PM,2PA,3PM,3PA,FTA,FTM,DREB,OREB,REB,AST,STL,BLK,TOV,PF
0b309ffa-6715-11f0-b705-27e6e78614e1,2025-26,Pro A,JUSTIN LEWIS,LIMOGES,"2025-09-27, LIM vs BOU",11,0,0,2,0,1,0,0,1,1,2,0,0,1,2,1
0b309ffa-6715-11f0-b705-27e6e78614e1,2025-26,Pro A,GAVIN WARE,LIMOGES,"2025-09-27, LIM vs BOU",27,12,5,9,0,0,2,2,9,2,11,2,1,0,2,3
0b309ffa-6715-11f0-b705-27e6e78614e1,2025-26,Pro A,ERWANN BUSSING,LIMOGES,"2025-09-27, LIM vs BOU",4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
0b309ffa-6715-11f0-b705-27e6e78614e1,2025-26,Pro A,VINCENT AMSELLEM,LIMOGES,"2025-09-27, LIM vs BOU",16,18,4,4,0,2,10,10,2,0,2,4,1,1,0,2
0b309ffa-6715-11f0-b705-27e6e78614e1,2025-26,Pro A,FRANK MASON III,LIMOGES,"2025-09-27, LIM vs BOU",24,10,4,9,0,2,4,2,2,0,2,3,2,0,1,1
0b309ffa-6715-11f0-b705-27e6e78614e1,2025-26,Pro A,TRE MITCHELL,BOURG-EN-BRESSE,"2025-09-27, LIM vs BOU",20,15,6,8,1,2,3,0,4,0,4,2,1,0,2,3
0b309ffa-6715-11f0-b705-27e6e78614e1,2025-26,Pro A,KEVIN KOKILA,BOURG-EN-BRESSE,"2025-09-27, LIM vs BOU",20,15,3,3,1,1,7,6,6,3,9,0,0,0,2,4
0b309ffa-6715-11f0-b705-27e6e78614e1,2025-26,Pro A,ISAAC GUEDEGBE,BOURG-EN-BRESSE,"2025-09-27, LIM vs BOU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0b309ffa-6715-11f0-b705-27e6e78614e1,2025-26,Pro A,YVANN MBAYA,BOURG-EN-BRESSE,"2025-09-27, LIM vs BOU",5,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0
0b309ffa-6715-11f0-b705-27e6e78614e1,2025-26,Pro A,ADAM MOKOKA,BOURG-EN-BRESSE,"2025-09-27, LIM vs BOU",34,15,4,8,2,5,2,1,1,0,1,3,0,0,2,4
0b309ffa-6715-11f0-b705-27e6e78614e1,2025-26,Pro A,ASSEMIAN MOULARE,BOURG-EN-BRESSE,"2025-09-27, LIM vs BOU",27,12,3,8,2,3,2,0,0,0,0,5,1,0,1,2
0b309ffa-6715-11f0-b705-27e6e78614e1,2025-26,Pro A,BOTH TUT GACH,BOURG-EN-BRESSE,"2025-09-27, LIM vs BOU",28,10,2,4,1,1,3,3,0,0,0,1,0,0,1,3
0b309ffa-6715-11f0-b705-27e6e78614e1,2025-26,Pro A,J.T. SHUMATE,BOURG-EN-BRESSE,"2025-09-27, LIM vs BOU",16,0,0,0,0,1,0,0,1,1,2,0,2,0,0,0
0b309ffa-6715-11f0-b705-27e6e78614e1,2025-26,Pro A,DARIUS MCGHEE,BOURG-EN-BRESSE,"2025-09-27, LIM vs BOU",27,9,3,4,1,5,0,0,1,1,2,6,0,0,3,2
0b309ffa-6715-11f0-b705-27e6e78614e1,2025-26,Pro A,JUWAN EKANGA-EHAWA,BOURG-EN-BRESSE,"2025-09-27, LIM vs BOU",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0b309ffa-6715-11f0-b705-27e6e78614e1,2025-26,Pro A,RICARDO LINDO JR,BOURG-EN-BRESSE,"2025-09-27, LIM vs BOU",21,8,2,3,1,3,1,1,2,1,3,0,0,0,2,5
0b309ffa-6715-11f0-b705-27e6e78614e1,2025-26,Pro A,KHADIM KANE,BOURG-EN-BRESSE,"2025-09-27, LIM vs BOU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0b65c41e-6715-11f0-868c-27e6e78614e1,2025-26,Pro A,VALENTIN CHERY,GRAVELINES-DUNKERQUE,"2025-09-27, GRA vs PAB",24,5,1,4,0,0,6,3,2,4,6,0,0,2,1,3
0b65c41e-6715-11f0-868c-27e6e78614e1,2025-26,Pro A,DAVID JOPLIN,GRAVELINES-DUNKERQUE,"2025-09-27, GRA vs PAB",19,0,0,2,0,1,0,0,2,0,2,1,1,1,1,1
0b65c41e-6715-11f0-868c-27e6e78614e1,2025-26,Pro A,GAUTHIER DENIS,GRAVELINES-DUNKERQUE,"2025-09-27, GRA vs PAB",23,11,1,2,2,3,4,3,0,0,0,1,0,0,2,1
0b65c41e-6715-11f0-868c-27e6e78614e1,2025-26,Pro A,VAFESSA FOFANA,GRAVELINES-DUNKERQUE,"2025-09-27, GRA vs PAB",20,6,3,4,0,6,0,0,1,2,3,2,2,1,2,0
0b65c41e-6715-11f0-868c-27e6e78614e1,2025-26,Pro A,LOUKA LETAILLEUR,GRAVELINES-DUNKERQUE,"2025-09-27, GRA vs PAB",15,5,1,1,1,4,0,0,1,0,1,0,0,0,0,3
0b65c41e-6715-11f0-868c-27e6e78614e1,2025-26,Pro A,SOREN BRACQ,GRAVELINES-DUNKERQUE,"2025-09-27, GRA vs PAB",20,1,0,0,0,3,4,1,1,1,2,3,1,0,2,3
0b65c41e-6715-11f0-868c-27e6e78614e1,2025-26,Pro A,EDON MAXHUNI,GRAVELINES-DUNKERQUE,"2025-09-27, GRA vs PAB",26,15,4,8,1,7,4,4,2,1,3,2,4,0,1,5
0b65c41e-6715-11f0-868c-27e6e78614e1,2025-26,Pro A,MIKE LEWIS II,GRAVELINES-DUNKERQUE,"2025-09-27, GRA vs PAB",29,11,4,7,1,4,0,0,1,0,1,0,2,0,3,2
0b65c41e-6715-11f0-868c-27e6e78614e1,2025-26,Pro A,TAJUAN AGEE,GRAVELINES-DUNKERQUE,"2025-09-27, GRA vs PAB",24,12,3,6,0,2,8,6,5,1,6,0,2,0,2,3
0b65c41e-6715-11f0-868c-27e6e78614e1,2025-26,Pro A,ISMAEL BAKO,PARIS,"2025-09-27, GRA vs PAB",11,2,1,1,0,0,0,0,3,0,3,0,1,1,1,4
0b65c41e-6715-11f0-868c-27e6e78614e1,2025-26,Pro A,JUSTIN ROBINSON,PARIS,"2025-09-27, GRA vs PAB",20,16,4,7,1,2,5,5,0,0,0,6,2,0,3,3
0b65c41e-6715-11f0-868c-27e6e78614e1,2025-26,Pro A,DAULTON HOMMES,PARIS,"2025-09-27, GRA vs PAB",15,7,2,2,1,2,0,0,0,1,1,2,1,0,0,2
0b65c41e-6715-11f0-868c-27e6e78614e1,2025-26,Pro A,LEOPOLD CAVALIERE,PARIS,"2025-09-27, GRA vs PAB",19,7,2,4,1,2,2,0,2,1,3,0,0,0,0,0
0b65c41e-6715-11f0-868c-27e6e78614e1,2025-26,Pro A,ALLAN DOKOSSI,PARIS,"2025-09-27, GRA vs PAB",17,6,3,7,0,1,0,0,5,6,11,2,0,0,1,3
